Player,Team,Height,Weight,MinutesPlayed,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,Reb_Off_3_48,Reb_Off_2_48,Reb_Def_3_48,Reb_Def_2_48
"Joe Harris",BKN,198,98,2293,17,11.9,0.516,0.178,0.5024,0.5443,1.8421,2.9516
"Garrett Temple",MEM,198,88,1530,13.9,6.7,0.543,0.196,0.2196,0.3451,1.6000,2.1333
"Mike Conley",MEM,185,79,2342,27.3,33.4,0.38,0.363,0.2254,0.5739,1.8651,2.2135
"Gorgui Dieng",MIN,211,114,1031,19.6,10.3,0.149,0.281,1.3036,2.4210,3.8642,5.4471
"Josh Hart",LAL,196,97,1715,13.5,7,0.591,0.172,0.3918,0.5598,2.4630,3.2746
"LaMarcus Aldridge",SA,211,117,2687,26.9,11.6,0.032,0.312,1.0361,3.3584,3.2691,4.9483
"Ersan Ilyasova",MIL,208,106,1231,15.7,5.5,0.42,0.194,1.5987,1.6767,3.2364,4.0552
"Victor Oladipo",IND,193,95,1147,27.9,25.2,0.367,0.24,0.3766,0.5022,3.0549,4.4359
"Jeff Teague",MIN,188,88,1264,19.3,37.6,0.252,0.368,0.1899,0.4177,1.5570,1.6709
"Tristan Thompson",CLE,208,107,1198,17.7,11.2,0,0.279,0.8815,6.0100,3.4057,6.5710
"Cody Zeller",CHA,213,108,1243,16.3,12.1,0.064,0.409,1.1971,3.0507,4.0933,4.0933
"Iman Shumpert",SAC,196,97,1099,15.2,10.7,0.58,0.118,0.3057,0.5241,1.9654,1.8781
"Aron Baynes",BOS,208,117,821,15.2,9.3,0.274,0.278,1.5786,3.5664,2.9233,5.4373
"Yogi Ferrell",SAC,183,81,1067,16.3,17,0.423,0.19,0.1799,0.4049,1.9794,2.1593
"Doug McDermott",IND,203,102,1340,16.3,7.1,0.488,0.187,0.2507,0.3940,1.2179,1.7910
"Mike Muscala",PHI,211,108,1041,14.3,7.9,0.716,0.277,1.1988,1.0605,2.4438,4.1499
"Marcus Smart",BOS,193,99,2200,14.6,19.1,0.61,0.228,0.5236,0.7200,1.7236,2.0509
"Ryan Arcidiacono",CHI,190,90,1961,11.7,18.9,0.519,0.244,0.1958,0.4161,2.4233,2.1540
"Thomas Bryant",WSH,211,112,1496,17.6,9.3,0.197,0.273,1.2834,2.3743,4.1390,5.9037
"Steven Adams",OKC,213,120,2669,16.4,6.6,0.002,0.361,2.3380,4.1903,1.9783,4.6040
"Russell Westbrook",OKC,190,90,2630,30.9,46.5,0.279,0.306,0.8395,1.1316,4.8000,6.1871
"Damian Lillard",POR,190,88,2838,29.3,30.6,0.419,0.335,0.5920,0.5412,2.2495,2.7907
"Ricky Rubio",UTAH,193,86,1899,22.7,32.1,0.348,0.312,0.3539,0.4297,1.6935,3.5893
"Jimmy Butler",PHI,203,105,1824,22.1,18,0.198,0.407,0.8947,1.8947,1.8158,2.9737
"Harry Giles",SAC,208,108,820,23.2,15.2,0.017,0.261,0.5854,2.5756,3.1024,3.9220
"Derrick Jones Jr.",MIA,201,90,1153,15.6,4.7,0.281,0.377,1.2489,2.7060,2.5395,2.7476
"Dwight Powell",DAL,211,108,1662,17.2,10.7,0.261,0.523,1.7040,2.3105,2.9458,4.2166
"Jaylen Brown",BOS,201,99,1913,22.1,7.7,0.348,0.255,0.5520,0.9786,3.3121,2.5091
"Tobias Harris",PHI,206,106,944,21.3,12.6,0.338,0.221,0.4576,1.0678,3.3051,5.2373
"Josh Jackson",PHX,203,90,1988,23.9,14.1,0.268,0.253,0.4588,1.0865,2.7525,3.3803
"Darren Collison",IND,183,79,2143,17.7,29.9,0.294,0.288,0.3136,0.4928,1.9935,2.3294
"Marco Belinelli",SA,196,95,1815,19.8,10.1,0.572,0.18,0.0264,0.3702,2.1421,2.4066
"Rodney McGruder",MIA,193,90,1550,15.4,10.3,0.488,0.156,0.5574,1.2077,2.4465,2.8800
"Nikola Vucevic",ORL,213,117,2510,28,21.9,0.171,0.168,1.2048,3.0406,4.7809,8.4526
"Chandler Hutchison",CHI,201,89,895,12.2,5.3,0.239,0.182,0.5899,1.0190,3.1106,4.5587
"Stephen Curry",GS,190,86,2331,30.4,24.2,0.604,0.214,0.4324,0.4942,3.0064,3.6860
"Langston Galloway",DET,188,90,1745,16.1,7.3,0.647,0.164,0.6602,0.6602,1.3203,1.8430
"Norman Powell",TOR,193,97,1126,19,11.6,0.425,0.188,0.1705,0.4689,2.6430,2.2167
"PJ Tucker",HOU,198,111,2802,9.5,4.6,0.74,0.113,1.1135,0.9422,2.3298,3.1349
"Shaquille Harrison",CHI,193,86,1430,16.5,14.1,0.209,0.289,0.2685,0.8056,2.8531,3.2895
"Jamal Crawford",PHX,196,83,1211,20.8,27.7,0.461,0.251,0.1585,0.1585,1.2287,1.7440
"Josh Richardson",MIA,198,90,2539,20.9,17.9,0.448,0.225,0.3592,0.6239,1.7015,2.0796
"Justin Jackson",SAC,203,95,1083,12.9,8,0.539,0.169,0.3102,0.7978,2.8366,2.3490
"Wesley Matthews",DAL,196,99,1312,18.9,11.6,0.561,0.235,0.2927,0.4390,1.5000,1.3902
"Rondae Hollis-Jefferson",BKN,201,98,1234,21.6,11.7,0.101,0.376,1.0113,2.0616,3.0340,4.6677
"Jalen Brunson",DAL,190,86,1591,19.1,22.6,0.32,0.212,0.2112,0.4827,2.0515,2.2627
"Larry Nance Jr.",CLE,206,104,1795,15.5,17.8,0.205,0.28,1.4708,2.9415,3.7170,5.8563
"Reggie Jackson",DET,190,94,2289,24.5,24.7,0.45,0.225,0.3145,0.6081,1.7195,1.7824
"Omari Spellman",ATL,206,111,805,14.9,8,0.525,0.184,1.6099,2.4447,2.8025,3.2199
