Player,Team,Height,Weight,MinutesPlayed,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,Reb_Off_3_48,Reb_Off_2_48,Reb_Def_3_48,Reb_Def_2_48
"Collin Sexton",CLE,188,86,2605,25.2,15.3,0.245,0.211,0.3132,0.7923,1.7689,1.5294
"Zach Collins",POR,213,106,1356,16.6,7.1,0.303,0.315,0.9558,2.7257,2.8673,4.0354
"Jrue Holiday",NO,193,92,2402,25.4,31.8,0.313,0.234,0.3997,1.0791,2.5179,2.5179
"OG Anunoby",TOR,203,105,1352,15.5,4.7,0.5,0.153,0.8521,0.9941,1.5621,2.5917
"Lauri Markkanen",CHI,213,108,1682,25.1,7.2,0.418,0.245,0.4566,1.6552,3.8240,6.5351
"Deandre Ayton",PHX,216,113,2183,21.2,9.6,0.005,0.217,1.0334,3.8039,3.8259,6.1567
"Ian Clark",NO,190,79,973,19.3,12.9,0.527,0.097,0.2467,0.3947,1.6280,2.0719
"Lance Stephenson",LAL,198,104,1123,20.3,17.3,0.456,0.169,0.5129,0.8549,3.4194,4.2743
"Robin Lopez",CHI,213,124,1606,18.6,8.8,0.058,0.23,1.0760,3.1083,1.1059,3.0187
"Jamal Murray",DEN,193,93,2447,24.9,22.4,0.353,0.19,0.3727,0.8827,2.3343,2.3931
"Jarrett Allen",BKN,211,107,2096,15.9,7.9,0.079,0.489,1.3053,2.9771,4.0763,5.9542
"Danny Green",TOR,198,97,2216,14.1,7.7,0.69,0.07,0.6065,0.6715,2.1661,3.3357
"Marc Gasol",MEM,216,115,1788,22.3,22.6,0.324,0.294,0.3221,1.1275,4.2416,5.6644
"Alex Len",ATL,216,113,1544,22.1,8.6,0.315,0.333,1.5544,3.2642,2.8912,4.6321
"Shai Gilgeous-Alexander",LAC,198,82,2174,18.3,17.8,0.194,0.272,0.3312,0.7948,1.4351,2.1417
"Dorian Finney-Smith",DAL,203,99,1985,14,6.9,0.481,0.195,1.3542,1.8136,2.7083,2.9743
"Terrance Ferguson",OKC,201,86,1931,10.6,4.8,0.673,0.118,0.3480,0.4474,1.4666,1.1186
"Allen Crabbe",BKN,198,96,1133,16.4,5.8,0.694,0.15,0.2542,0.4237,2.5419,2.7961
"Paul Millsap",DEN,203,111,1895,19.6,10.6,0.239,0.374,1.2665,2.3810,3.3435,4.8127
"JJ Redick",PHI,193,90,2379,21.9,12.9,0.589,0.248,0.2219,0.1816,1.3317,1.9571
"Nikola Mirotic",NO,208,113,925,21.7,5.3,0.568,0.248,0.5708,1.6086,3.9957,6.2270
"Wes Iwundu",ORL,201,88,1233,12.8,7.9,0.288,0.376,0.0000,0.0000,0.1946,0.1168
"Emmanuel Mudiay",NY,196,90,1607,25.6,24.2,0.284,0.251,0.4480,0.5078,1.9116,2.6285
"Maximilian Kleber",DAL,211,108,1502,13.5,6.8,0.565,0.192,1.0866,1.4061,2.6205,3.7390
"Andrew Wiggins",MIN,203,87,2543,24.4,10.9,0.288,0.245,0.4530,1.0759,2.4727,2.3783
"David Nwaba",CLE,193,99,984,14.6,8.1,0.286,0.324,0.7805,1.2195,2.6341,2.9268
"George Hill",MIL,190,85,958,14.4,13.3,0.465,0.242,0.6013,0.8017,1.8539,2.8058
"Patrick Patterson",OKC,206,104,861,12,4.6,0.626,0.137,0.7805,1.5610,2.2300,3.1220
"Marcus Morris",BOS,206,106,2091,20.9,7.5,0.461,0.205,0.4591,1.1937,3.5811,4.3615
"Juan Hernangomez",DEN,206,104,1358,12.2,5.3,0.576,0.274,0.7776,1.3432,2.9337,3.6053
"Anthony Tolliver",MIN,203,113,1079,12.5,5.5,0.83,0.232,0.2669,0.3559,3.2030,3.4699
"Austin Rivers",HOU,193,90,1345,13.9,11.7,0.585,0.13,0.2141,0.3212,1.4632,1.2491
"Malcolm Brogdon",MIL,196,103,1832,20.7,16.2,0.326,0.203,0.7860,0.8384,2.7511,2.9869
"Jae Crowder",UTAH,198,106,2166,19.1,8.9,0.655,0.247,0.6870,0.5762,2.0831,4.2548
"Fred VanVleet",TOR,183,88,1760,17.9,23.9,0.493,0.192,0.3545,0.1909,1.6091,2.3182
"James Harden",HOU,196,99,2867,40.5,39.5,0.539,0.449,0.3348,0.7367,2.5448,3.9847
"Spencer Dinwiddie",BKN,198,95,1914,24.9,25.6,0.447,0.43,0.3511,0.3009,1.3041,2.1317
"Delon Wright",TOR,196,83,897,17.1,16.8,0.307,0.208,1.0167,0.9632,1.7659,2.5686
"Terry Rozier",BOS,185,86,1791,18.6,17.7,0.506,0.14,0.4556,0.3216,3.7521,3.5377
"Shelvin Mack",MEM,190,92,1204,18,23.3,0.329,0.193,0.0797,0.6379,1.7143,1.6346
"Rudy Gobert",UTAH,216,111,2577,17.8,9.6,0,0.733,1.7509,3.8743,4.7311,7.8044
"Jeremy Lin",ATL,190,90,1003,22.6,26.7,0.342,0.435,0.2393,0.4786,2.2014,2.4407
"Jonathon Simmons",ORL,198,88,845,19.3,15.7,0.29,0.252,0.6817,0.6249,1.2497,3.0107
"Jabari Parker",CHI,203,111,1042,25,13.2,0.246,0.233,0.6910,1.1056,3.9155,4.3762
"Terrence Ross",ORL,201,93,2150,23.9,9.9,0.551,0.14,0.2679,0.2902,2.2772,3.0809
"Justise Winslow",MIA,201,102,1959,20.8,21.9,0.342,0.183,0.5881,0.8821,2.8668,3.8469
"Sterling Brown",MIL,198,105,1034,15.2,10.7,0.471,0.135,0.6035,0.6499,3.2031,3.8530
"Khris Middleton",MIL,203,100,2393,25.1,20.1,0.413,0.225,0.2206,0.7020,3.3698,4.5533
"D'Angelo Russell",BKN,196,89,2448,31.9,41.3,0.419,0.135,0.3333,0.7059,1.9804,3.1176
"Thaddeus Young",IND,203,100,2489,18,12,0.174,0.161,1.2728,2.3913,2.7384,3.1049
"Mitchell Robinson",NY,216,108,1360,12.1,4.2,0,0.464,1.8706,4.2000,3.6000,4.7647
"Gordon Hayward",BOS,203,102,1863,19,18.4,0.364,0.294,0.6184,0.7214,2.8857,3.2721
"Donovan Mitchell",UTAH,190,97,2598,31.6,21.2,0.339,0.259,0.2217,0.8314,1.7552,2.8268
"Harrison Barnes",SAC,203,102,949,16.3,7.5,0.419,0.258,0.1012,0.8599,2.5290,3.7935
"Derrick Rose",MIN,190,90,1392,27.3,26.4,0.194,0.212,0.4138,0.7241,1.3793,2.2414
"E'Twaun Moore",NO,193,86,1463,17.3,9.5,0.331,0.111,0.2625,0.8202,1.6405,1.2796
"Nicolas Batum",CHA,203,90,2354,13.2,14.5,0.53,0.158,0.5506,0.8360,2.7324,3.0790
"Markieff Morris",WSH,208,111,883,19.5,9.6,0.439,0.223,0.8154,1.2503,3.2616,3.5334
"Meyers Leonard",POR,216,115,878,14.8,11.8,0.459,0.211,1.0387,1.7494,3.9362,5.5216
