,Player,Team,Age,Height,Weight,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,TotalFouls,TotalBlocks,OR3_per48,OR2_per48,DR3_per48,DR2_per48,label
149,Kevon Looney,GS,22,206,99,12.8,10.9,0.028999999999999998,0.303,211,53,1.6205,4.5375,2.1067,4.3754,1
150,Wendell Carter Jr.,CHI,19,206,117,19.1,10.7,0.086,0.302,152,58,1.0378,2.6811,3.8054,5.1459,1
151,Thomas Bryant,WSH,21,208,112,17.6,9.3,0.19699999999999998,0.273,126,67,1.2834,2.3743,4.139,5.9037,1
153,Nikola Vucevic,ORL,28,213,117,28.0,21.9,0.171,0.168,157,89,1.2048,3.0406,4.7809,8.4526,1
154,Markieff Morris,WSH,29,208,111,19.5,9.6,0.439,0.223,117,20,0.8154,1.2503,3.2616,3.5334,1
163,Nerlens Noel,OKC,24,211,99,13.8,5.9,0.0,0.28600000000000003,166,96,1.5469,4.1858,2.5934,5.2322,1
168,Paul Millsap,DEN,33,201,113,19.6,10.6,0.239,0.374,183,54,1.2665,2.381,3.3435,4.8127,1
175,Taj Gibson,MIN,33,206,102,17.2,7.3,0.063,0.33,186,39,1.1103,3.6726,2.9609,4.3559,1
176,Alex Len,ATL,25,216,113,22.1,8.6,0.315,0.33299999999999996,200,69,1.5544,3.2642,2.8912,4.6321,1
179,Dario Saric,MIN,24,208,102,17.8,8.8,0.449,0.213,143,6,1.3276,1.4751,3.2452,4.0713,1
180,Domantas Sabonis,IND,22,211,108,23.5,18.2,0.024,0.41600000000000004,239,30,0.8357,3.8912,4.8313,7.3645,1
181,Gorgui Dieng,MIN,29,211,114,19.6,10.3,0.149,0.281,134,41,1.3036,2.421,3.8642,5.4471,1
182,Kelly Olynyk,MIA,27,211,108,18.0,11.4,0.5660000000000001,0.32799999999999996,183,37,0.9536,0.9007,3.1788,4.106,1
193,Harry Giles,SAC,20,208,108,23.2,15.2,0.017,0.261,150,22,0.6439,3.161,3.5707,4.5073,1
200,Thaddeus Young,IND,30,203,99,18.0,12.0,0.174,0.161,194,36,1.2728,2.3913,2.7384,3.1049,1
202,Jarrett Allen,BKN,20,211,107,15.9,7.9,0.079,0.489,184,120,1.3053,2.9771,4.0763,5.9542,1
213,Mason Plumlee,DEN,28,211,107,16.2,19.5,0.023,0.44799999999999995,252,76,1.6083,2.9671,4.3258,5.2132,1
217,Joel Embiid,PHI,24,213,113,33.3,18.4,0.21899999999999997,0.541,211,122,0.8245,2.7187,5.5487,8.9582,1
220,Steven Adams,OKC,25,213,120,16.4,6.6,0.002,0.361,204,76,2.338,4.1903,1.9783,4.604,1
221,Derrick Favors,UTAH,27,208,120,19.4,8.0,0.126,0.368,163,106,1.658,3.8596,2.9626,5.8981,1
223,JaMychal Green,MEM,28,206,102,20.4,6.5,0.308,0.256,123,26,1.2267,2.56,3.7867,4.5867,1
228,Giannis Antetokounmpo,MIL,24,211,109,32.3,30.3,0.163,0.55,232,110,0.8957,2.1578,6.0051,7.5522,1
230,Ersan Ilyasova,MIL,31,208,106,15.7,5.5,0.42,0.19399999999999998,172,20,1.5987,1.6767,3.2364,4.0552,1
234,Willie Cauley-Stein,SAC,25,213,108,17.5,12.3,0.003,0.34299999999999997,227,51,1.1279,2.7113,4.7718,5.3574,1
235,Serge Ibaka,TOR,29,208,106,22.9,7.7,0.193,0.20199999999999999,211,103,1.0985,2.5552,4.3463,5.5164,1
241,Royce O'Neale,UTAH,25,198,102,11.0,10.0,0.513,0.122,172,24,0.2011,0.4309,2.8725,4.4811,1
242,Jared Dudley,BKN,33,201,107,10.4,9.2,0.632,0.192,131,16,0.5508,0.5902,1.6525,2.7541,1
243,Marvin Williams,CHA,32,206,107,14.9,6.1,0.586,0.132,156,61,0.8101,0.9001,3.218,3.8931,1
246,Rudy Gobert,UTAH,26,216,111,17.8,9.6,0.0,0.733,231,187,1.7509,3.8743,4.7311,7.8044,1
249,Kyle Kuzma,LAL,23,206,99,23.8,11.5,0.38799999999999996,0.23,170,26,0.5186,0.6638,2.6551,3.5678,1
257,Noah Vonleh,NY,23,206,116,14.8,11.1,0.311,0.355,174,51,0.892,2.1742,4.3206,6.4111,1
259,Myles Turner,IND,22,211,113,20.0,8.0,0.251,0.258,195,199,0.453,1.8348,3.8509,5.2327,1
265,Terrance Ferguson,OKC,20,201,86,10.6,4.8,0.6729999999999999,0.11800000000000001,231,16,0.348,0.4474,1.4666,1.1186,1
270,Nikola Mirotic,NO,27,208,113,21.7,5.3,0.568,0.248,86,25,0.5708,1.6086,3.9957,6.227,1
271,Jaylen Brown,BOS,22,198,101,22.1,7.7,0.348,0.255,186,32,0.552,0.9786,3.3121,2.5091,1
272,Nemanja Bjelica,SAC,30,208,106,16.5,11.1,0.433,0.155,197,56,0.8054,2.4966,2.8725,4.9128,1
273,Paul George,OKC,28,206,99,29.5,17.7,0.469,0.335,214,34,0.5407,1.0982,3.7846,4.5956,1
275,Hassan Whiteside,MIA,29,208,106,22.6,5.6,0.024,0.35700000000000004,192,136,1.5197,5.5627,6.5376,8.3728,1
276,Blake Griffin,DET,29,208,113,30.2,27.1,0.389,0.41,199,28,0.5858,1.1167,3.1487,4.54,1
278,Ed Davis,BKN,29,208,102,12.7,6.0,0.006999999999999999,0.536,226,33,2.2241,4.8133,5.5436,9.1618,1
279,Kevin Knox,NY,19,201,97,22.3,6.0,0.39799999999999996,0.247,175,24,0.4671,0.9342,2.7581,3.0918,1
282,John Collins,ATL,21,208,106,23.7,11.0,0.19,0.32,199,39,1.7583,3.9103,3.6479,5.0913,1
287,Al-Farouq Aminu,POR,28,206,99,13.7,6.0,0.47200000000000003,0.292,143,33,0.6492,1.6126,3.267,6.3037,1
289,Marc Gasol,MEM,34,216,115,22.3,22.6,0.324,0.294,147,63,0.3221,1.1275,4.2416,5.6644,1
293,Mitchell Robinson,NY,20,213,101,12.1,4.2,0.0,0.46399999999999997,217,161,1.8706,4.2,3.6,4.7647,1
296,Clint Capela,HOU,24,208,108,18.2,7.1,0.0,0.35700000000000004,168,102,2.3904,3.8631,4.4393,6.787,1
297,Brook Lopez,MIL,30,213,122,16.7,5.7,0.6509999999999999,0.16899999999999998,189,179,0.124,0.5168,2.4599,4.6512,1
299,Joe Harris,BKN,27,198,99,17.0,11.9,0.516,0.17800000000000002,182,17,0.5024,0.5443,1.8421,2.9516,1
301,Karl-Anthony Towns,MIN,23,213,112,28.9,17.2,0.27,0.342,292,125,1.6597,3.2063,4.5077,7.3933,1
