Player,Team,Age,Height,Weight,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,TotalFouls,TotalBlocks,OR3_per48,OR2_per48,DR3_per48,DR2_per48
"Taurean Prince",ATL,24,201,98,19.5,11.1,0.53,0.195,141,19,0.2474,0.4330,2.3814,2.9691
"DeAndre' Bembry",ATL,24,198,95,17.2,14.7,0.281,0.221,190,41,0.4723,0.8700,3.9772,3.1569
"Ricky Rubio",UTAH,28,193,86,22.7,32.1,0.348,0.312,180,10,0.3539,0.4297,1.6935,3.5893
"Evan Turner",POR,30,201,99,15.9,23.6,0.117,0.239,110,18,0.2393,0.8673,3.0804,4.7551
"Larry Nance Jr.",CLE,26,206,104,15.5,17.8,0.205,0.28,192,40,1.4708,2.9415,3.7170,5.8563
"Avery Bradley",LAC,28,188,81,14.2,8.8,0.41,0.06,133,16,0.3937,0.7546,1.3124,1.7717
"JaVale McGee",LAL,31,213,122,20.2,4.8,0.019,0.237,208,148,1.2639,4.1652,4.3088,5.5727
"Ryan Arcidiacono",CHI,24,190,88,11.7,18.9,0.519,0.244,171,4,0.1958,0.4161,2.4233,2.1540
"Dewayne Dedmon",ATL,29,213,111,16.7,8.1,0.413,0.215,214,71,1.2231,1.7899,4.8626,5.3101
"Michael Kidd-Gilchrist",CHA,25,201,105,15.7,7.4,0.142,0.37,156,39,0.9364,2.5242,2.8906,3.2977
"Jamal Murray",DEN,21,193,91,24.9,22.4,0.353,0.19,153,27,0.3727,0.8827,2.3343,2.3931
"Justin Holiday",CHI,29,198,82,15.2,9.1,0.685,0.117,79,21,0.0725,0.6158,2.2460,2.7894
"Danuel House",HOU,25,201,97,14.1,5.9,0.706,0.282,80,11,0.6864,0.5393,2.5005,3.1379
"Chandler Hutchison",CHI,22,201,88,12.2,5.3,0.239,0.182,59,6,0.5899,1.0190,3.1106,4.5587
"Luke Kennard",DET,22,196,93,18.1,12.3,0.517,0.117,92,10,0.1670,0.2338,2.2046,3.3403
"Jaren Jackson Jr.",MEM,19,211,109,22.8,7.2,0.241,0.334,220,82,0.3168,1.9644,2.0277,4.0554
"Jake Layman",POR,24,206,94,15.9,5.6,0.427,0.167,116,30,0.7234,1.1575,1.9171,3.5810
"Darius Miller",NO,28,203,102,13.4,10.4,0.752,0.147,165,23,0.1912,0.1639,1.4206,1.5572
"Jonathon Simmons",ORL,29,198,88,19.3,15.7,0.29,0.252,68,14,0.6817,0.6249,1.2497,3.0107
"De'Anthony Melton",PHX,20,193,90,15,22.3,0.371,0.109,113,23,0.4390,0.6829,2.0488,2.9756
"Evan Fournier",ORL,26,201,92,22.1,17.6,0.421,0.159,225,12,0.1880,0.5076,1.5041,2.5946
"Buddy Hield",SAC,26,193,99,25.1,11.9,0.479,0.142,202,33,0.5507,1.3767,2.8818,2.6799
"Kent Bazemore",ATL,29,193,88,22,13.5,0.434,0.253,170,42,0.4090,0.6427,3.3597,2.8923
"Jalen Brunson",DAL,22,190,86,19.1,22.6,0.32,0.212,127,4,0.2112,0.4827,2.0515,2.2627
"Malik Monk",CHA,20,190,90,24.6,14.3,0.563,0.174,106,19,0.2671,0.3434,2.1367,2.3275
"Mikal Bridges",PHX,22,201,95,12.2,9.8,0.556,0.21,201,38,0.3773,0.7348,1.7476,2.2044
"Marco Belinelli",SA,32,196,95,19.8,10.1,0.572,0.18,121,8,0.0264,0.3702,2.1421,2.4066
"Tony Parker",CHA,36,188,83,25.5,33.3,0.11,0.268,53,7,0.1914,0.4786,1.3878,1.8664
"Anthony Davis",NO,25,208,114,29.5,19,0.141,0.422,132,135,1.1157,3.3730,5.0335,7.6022
"Jonathan Isaac",ORL,21,208,95,16.3,5.7,0.435,0.221,143,98,0.7455,1.5391,3.1984,3.9439
"Kawhi Leonard",TOR,27,201,104,30.3,16.4,0.267,0.377,87,24,0.8706,0.9412,3.0588,4.6824
