Player,Team,Age,Height,Weight,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,TotalFouls,TotalBlocks,OR3_per48,OR2_per48,DR3_per48,DR2_per48
"Wayne Selden",CHI,24,196,104,18,10.8,0.345,0.196,83,7,0.2439,0.8293,1.9512,3.2195
"Quinn Cook",GS,25,188,81,20.2,15.2,0.456,0.059,92,3,0.2720,0.6346,2.4023,3.7167
"Giannis Antetokounmpo",MIL,24,211,109,32.3,30.3,0.163,0.55,232,110,0.8957,2.1578,6.0051,7.5522
"Kevin Huerter",ATL,20,201,86,15.7,14.5,0.537,0.085,155,25,0.7500,0.5859,1.6641,2.5547
"Ersan Ilyasova",MIL,31,208,106,15.7,5.5,0.42,0.194,172,20,1.5987,1.6767,3.2364,4.0552
"Fred VanVleet",TOR,24,183,88,17.9,23.9,0.493,0.192,110,20,0.3545,0.1909,1.6091,2.3182
"Luka Doncic",DAL,19,201,98,30.5,31.6,0.433,0.409,137,25,0.6212,1.1389,4.1415,5.3011
"Dennis Schroder",OKC,25,185,78,24.2,20.4,0.33,0.206,189,12,0.2074,0.5393,2.2818,2.8003
"Willie Cauley-Stein",SAC,25,213,108,17.5,12.3,0.003,0.343,227,51,1.1279,2.7113,4.7718,5.3574
"Serge Ibaka",TOR,29,208,106,22.9,7.7,0.193,0.202,211,103,1.0985,2.5552,4.3463,5.5164
"Austin Rivers",HOU,26,193,90,13.9,11.7,0.585,0.13,135,13,0.2141,0.3212,1.4632,1.2491
"Langston Galloway",DET,27,188,90,16.1,7.3,0.647,0.164,135,8,0.6602,0.6602,1.3203,1.8430
"Jayson Tatum",BOS,20,203,92,22.1,10,0.3,0.22,168,57,0.4888,0.8798,3.4607,3.7540
"Tim Frazier",NO,28,185,77,12.3,28,0.395,0.21,93,4,0.9505,0.6337,2.6931,2.4290
"Allen Crabbe",BKN,26,198,96,16.4,5.8,0.694,0.15,102,13,0.2542,0.4237,2.5419,2.7961
"Royce O'Neale",UTAH,25,198,102,11,10,0.513,0.122,172,24,0.2011,0.4309,2.8725,4.4811
"Jared Dudley",BKN,33,201,107,10.4,9.2,0.632,0.192,131,16,0.5508,0.5902,1.6525,2.7541
"Marvin Williams",CHA,32,206,107,14.9,6.1,0.586,0.132,156,61,0.8101,0.9001,3.2180,3.8931
"LeBron James",LAL,34,203,113,31.6,39.4,0.299,0.382,94,33,0.3717,0.9417,3.8162,5.5509
"Kenrich Williams",NO,24,201,95,12.3,9.5,0.559,0.068,95,19,1.1566,1.2011,2.8916,3.9147
"Rudy Gobert",UTAH,26,216,111,17.8,9.6,0,0.733,231,187,1.7509,3.8743,4.7311,7.8044
"James Harden",HOU,29,196,99,40.5,39.5,0.539,0.449,244,58,0.3348,0.7367,2.5448,3.9847
"Devin Harris",DAL,35,190,83,18.5,16.7,0.576,0.386,133,16,0.2241,0.2241,2.3305,2.0616
"Kyle Kuzma",LAL,23,206,99,23.8,11.5,0.388,0.23,170,26,0.5186,0.6638,2.6551,3.5678
"Landry Shamet",PHI,21,196,85,15,7.4,0.706,0.156,106,8,0.2166,0.3032,1.3430,1.3430
"Terrence Ross",ORL,27,201,93,23.9,9.9,0.551,0.14,119,29,0.2679,0.2902,2.2772,3.0809
"Reggie Bullock",DET,27,198,90,16.7,12,0.667,0.145,79,5,0.3188,0.2834,1.9483,1.4878
"Wesley Iwundu",ORL,24,201,88,12.8,7.9,0.288,0.376,123,22,0.6618,0.7786,2.5304,2.6472
"Rodney McGruder",MIA,27,193,90,15.4,10.3,0.488,0.156,115,12,0.5574,1.2077,2.4465,2.8800
"James Johnson",MIA,31,201,108,17.8,17,0.393,0.185,114,27,0.2062,0.7010,2.5567,3.5876
"Patty Mills",SA,30,183,81,18.5,17.6,0.609,0.155,129,10,0.2013,0.4025,1.9119,2.0126
"Noah Vonleh",NY,23,206,116,14.8,11.1,0.311,0.355,174,51,0.8920,2.1742,4.3206,6.4111
"Victor Oladipo",IND,26,193,95,27.9,25.2,0.367,0.24,72,11,0.3766,0.5022,3.0549,4.4359
"Myles Turner",IND,22,211,113,20,8,0.251,0.258,195,199,0.4530,1.8348,3.8509,5.2327
"Alfonzo McKinnie",GS,26,203,97,13.9,4,0.429,0.175,134,15,1.9143,1.9621,3.2542,3.8285
"Dion Waiters",MIA,27,190,97,21.1,16.4,0.605,0.092,72,9,0.0844,0.2531,2.6573,1.9402
"Andrew Wiggins",MIN,23,203,87,24.4,10.9,0.288,0.245,153,48,0.4530,1.0759,2.4727,2.3783
"Bruce Brown",DET,22,196,91,11.5,8.8,0.296,0.191,178,36,0.6294,0.9275,1.3582,2.9482
"Shai Gilgeous-Alexander",LAC,20,198,82,18.3,17.8,0.194,0.272,175,45,0.3312,0.7948,1.4351,2.1417
"Terrance Ferguson",OKC,20,201,86,10.6,4.8,0.673,0.118,231,16,0.3480,0.4474,1.4666,1.1186
"Justin Holiday",MEM,29,198,82,16.3,7.1,0.509,0.157,85,15,0.2246,0.7114,2.0218,2.3214
"Daniel Theis",BOS,26,203,97,15.8,10.5,0.252,0.286,161,42,1.2687,3.2775,2.4846,4.2819
"Dragan Bender",PHX,21,216,102,13.4,9.4,0.513,0.274,90,22,0.6392,1.3947,1.9177,5.2881
"Donovan Mitchell",UTAH,22,190,97,31.6,21.2,0.339,0.259,208,31,0.2217,0.8314,1.7552,2.8268
"Nikola Mirotic",NO,27,208,113,21.7,5.3,0.568,0.248,86,25,0.5708,1.6086,3.9957,6.2270
"Jaylen Brown",BOS,22,198,101,22.1,7.7,0.348,0.255,186,32,0.5520,0.9786,3.3121,2.5091
"Nemanja Bjelica",SAC,30,208,106,16.5,11.1,0.433,0.155,197,56,0.8054,2.4966,2.8725,4.9128
"Paul George",OKC,28,206,99,29.5,17.7,0.469,0.335,214,34,0.5407,1.0982,3.7846,4.5956
"D.J. Wilson",MIL,22,208,104,14.4,7.6,0.506,0.187,85,20,0.7619,1.5782,4.6259,4.1361
"Hassan Whiteside",MIA,29,208,106,22.6,5.6,0.024,0.357,192,136,1.5197,5.5627,6.5376,8.3728
"Blake Griffin",DET,29,208,113,30.2,27.1,0.389,0.41,199,28,0.5858,1.1167,3.1487,4.5400
"Yogi Ferrell",SAC,25,183,81,16.3,17,0.423,0.19,64,4,0.1799,0.4049,1.9794,2.1593
"Ed Davis",BKN,29,208,102,12.7,6,0.007,0.536,226,33,2.2241,4.8133,5.5436,9.1618
"Kevin Knox",NY,19,201,97,22.3,6,0.398,0.247,175,24,0.4671,0.9342,2.7581,3.0918
"Terry Rozier",BOS,24,185,86,18.6,17.7,0.506,0.14,101,21,0.4556,0.3216,3.7521,3.5377
"Allonzo Trier",NY,23,193,90,21.5,12.9,0.255,0.431,117,14,0.2632,0.6909,2.3687,2.6977
"John Collins",ATL,21,208,106,23.7,11,0.19,0.32,199,39,1.7583,3.9103,3.6479,5.0913
"Jabari Parker",CHI,23,203,111,25,13.2,0.246,0.233,87,14,0.6910,1.1056,3.9155,4.3762
"Lonzo Ball",LAL,21,198,86,16.9,23.8,0.5,0.105,114,19,0.5397,1.2143,2.8335,3.6093
"Frank Jackson",NO,20,190,92,18.5,8,0.378,0.163,92,2,0.3695,0.6159,2.2173,2.2173
"Tobias Harris",LAC,26,206,106,23.5,12.5,0.302,0.256,123,24,0.3027,0.6054,2.9764,5.8770
"Al-Farouq Aminu",POR,28,206,99,13.7,6,0.472,0.292,143,33,0.6492,1.6126,3.2670,6.3037
"Gerald Green",HOU,33,201,92,19.5,4.1,0.763,0.118,126,27,0.5214,0.4236,2.1507,2.4114
"Marc Gasol",MEM,34,216,115,22.3,22.6,0.324,0.294,147,63,0.3221,1.1275,4.2416,5.6644
"Jeremy Lin",ATL,30,190,90,22.6,26.7,0.342,0.435,96,7,0.2393,0.4786,2.2014,2.4407
"Caris LeVert",BKN,24,198,92,24,23.2,0.319,0.255,77,14,0.6322,0.9031,1.8062,3.3866
"Kyle Korver",UTAH,37,201,96,18.7,8.6,0.722,0.14,84,10,0.0886,0.2659,2.1717,3.1025
"Mitchell Robinson",NY,20,213,101,12.1,4.2,0,0.464,217,161,1.8706,4.2000,3.6000,4.7647
"Anthony Tolliver",MIN,33,203,108,12.5,5.5,0.83,0.232,91,21,0.2669,0.3559,3.2030,3.4699
"Tony Snell",MIL,27,201,96,12.9,6.7,0.565,0.116,90,18,0.6258,0.4417,1.7301,2.3190
"Clint Capela",HOU,24,208,108,18.2,7.1,0,0.357,168,102,2.3904,3.8631,4.4393,6.7870
"Brook Lopez",MIL,30,213,122,16.7,5.7,0.651,0.169,189,179,0.1240,0.5168,2.4599,4.6512
"CJ McCollum",POR,27,190,89,25.5,13.8,0.358,0.154,172,28,0.4648,0.7478,1.6977,2.5869
"Joe Harris",BKN,27,198,99,17,11.9,0.516,0.178,182,17,0.5024,0.5443,1.8421,2.9516
"Mario Hezonja",NY,23,203,91,21.3,11.5,0.328,0.246,110,8,0.3980,0.7164,3.4627,3.9403
"Karl-Anthony Towns",MIN,23,213,112,28.9,17.2,0.27,0.342,292,125,1.6597,3.2063,4.5077,7.3933
